Fs=250
t,x
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7
0.152,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165555.6608,-154059.3987
0.156,5405.568231,-11667.96823,-176604.5751,-176503.2099,5078.092823,89366.47646,17998.58576,36227.68506
0.16,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165494.864,-154016.908
0.164,3546.841865,-10171.51894,-178043.491,-178058.0196,6688.871287,90894.66523,18382.96871,35751.90583
0.168,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165563.1933,-154065.1431
0.172,5486.258028,-11598.49901,-176719.5972,-176604.9551,5069.532105,89386.32481,18044.94328,36241.23022
0.176,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165491.3548,-154013.8905
0.18,3512.286068,-10262.22232,-177928.6701,-177950.9771,6671.593389,90862.09874,18328.72103,35752.30816
0.184,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165567.5072,-154069.7922
0.188,5487.82265,-11485.08626,-176859.6085,-176744.8994,5127.803102,89460.59966,18104.26481,36246.86286
0.192,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165489.7678,-154013.9799
0.196,3542.751496,-10363.14045,-177774.2866,-177813.2457,6635.852949,90793.45653,18299.30613,35786.50633
0.2,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165568.8483,-154071.9603
0.204,5428.344658,-11345.11964,-177042.3564,-176919.1983,5218.640592,89561.62954,18174.20342,36243.71126
0.208,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165491.4219,-154014.8293
0.212,3638.305204,-10547.83291,-177581.2346,-177618.2714,6507.397474,90644.79508,18237.41415,35816.79294
0.216,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165566.6578,-154070.351
0.22,5295.083558,-11165.09869,-177245.1314,-177116.5865,5372.442946,89711.45328,18245.7737,36191.6764
0.224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165492.6959,-154015.4551
0.228,3782.429252,-10731.25133,-177380.203,-177408.8579,6346.509617,90470.11619,18167.52025,35829.91342
0.232,5112.626268,-10980.0933,-177439.1445,-177317.3499,5542.226796,89865.81443,18296.78038,36130.58908
0.236,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165496.2722,-154019.1879
0.24,3980.398653,-10859.59504,-177188.4921,-177202.6854,6221.384552,90345.19229,18140.38523,35887.53621
0.244,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165556.0855,-154066.9983
0.248,4893.2886,-10750.42912,-177657.3199,-177545.0248,5774.483773,90086.58261,18372.5528,36083.56101
0.252,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165508.6774,-154029.425
0.256,4228.055981,-11068.89678,-177006.1466,-177003.4643,5997.531831,90129.2968,18087.83628,35962.951
0.26,4636.176483,-10601.4771,-177819.5489,-177725.2245,5938.746743,90249.8174,18383.41574,36013.44359
0.264,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165515.7629,-154034.9011
0.268,4475.668606,-11241.31814,-176834.284,-176820.9847,5793.058073,89950.05816,18046.82082,36030.74384
0.272,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165535.9242,-154054.3695
0.276,4373.074099,-10471.68052,-177951.9606,-177884.1678,6107.83769,90402.36806,18394.99395,35951.75278
0.28,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165522.6473,-154040.5561
0.284,4715.525176,-11440.94157,-176676.2348,-176647.2446,5560.175247,89735.21319,17986.91815,36073.65919
0.288,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-187500.0224,-165527.5199,-154049.2063
